Date,Open,High,Low,Close,Adj Close,Volume,Day
2015-04-20,61.150002,61.470001,60.900002,60.939999,55.302776,460600,286
2015-04-21,61.220001,61.459999,60.790001,60.869999,55.239254,746500,287
2015-04-22,60.869999,61.630001,60.060001,61.599998,55.901726,918700,288
2015-04-23,61.560001,62.48,61.119999,62.25,56.491604,430600,289
2015-04-24,62.259998,62.77,61.5,62.740002,56.936279,478600,290
2015-04-27,62.84,63.240002,62.439999,62.959999,57.135921,570200,291
2015-04-28,63.119999,63.139999,62.299999,62.93,57.108692,466300,292
2015-04-29,62.560001,63.02,62.34,62.599998,56.809219,803200,293
2015-04-30,61.73,62.599998,61.080002,61.189999,55.529663,723900,294
2015-05-01,61.549999,62.389999,61.139999,62.349998,56.582344,493500,295
2015-05-04,62.380001,62.709999,62.119999,62.419998,56.645866,472100,296
2015-05-05,62.209999,62.380001,61.810001,62.040001,56.301037,483000,297
2015-05-06,62.110001,62.450001,61.380001,61.459999,55.774677,377900,298
2015-05-07,61.25,61.950001,61.110001,61.599998,55.901726,528800,299
2015-05-08,62.060001,62.400002,61.919998,62.099998,56.355484,580300,300
2015-05-11,62.130001,62.380001,61.82,61.830002,56.110455,416800,301
2015-05-12,61.439999,61.91,60.82,61.360001,55.683929,562800,302
2015-05-13,61.150002,61.880001,61.049999,61.830002,56.275536,337100,303
2015-05-14,62,62.580002,61.82,62.560001,56.93996,503800,304
2015-05-15,62.650002,62.700001,62.330002,62.48,56.867149,417400,305
2015-05-18,62.360001,63.549999,62.119999,63.540001,57.831913,525500,306
2015-05-19,63.5,63.619999,63.25,63.599998,57.886532,638400,307
2015-05-20,63.759998,63.779999,63.060001,63.130001,57.458759,528300,308
2015-05-21,62.990002,63.279999,62.75,63.009998,57.349537,411300,309
2015-05-22,63.060001,63.709999,63,63.419998,57.722713,226600,310
2015-05-26,63.669998,63.799999,62.889999,63.200001,57.522469,316200,311
2015-05-27,63.200001,63.25,62.59,62.689999,57.058281,556300,312
2015-05-28,62.700001,62.759998,62.419998,62.650002,57.021881,349200,313
2015-05-29,62.669998,62.700001,61.990002,62.049999,56.475788,488000,314
2015-06-01,62.349998,62.66,61.740002,62.150002,56.566788,517800,315
2015-06-02,62.009998,62.299999,61.900002,62.18,56.594093,360200,316
2015-06-03,62.16,62.610001,62.099998,62.48,56.867149,666700,317
2015-06-04,62.18,62.560001,61.939999,62,56.430267,693100,318
2015-06-05,61.939999,62.040001,61.630001,61.799999,56.248226,657100,319
2015-06-08,61.799999,61.869999,61.380001,61.380001,55.865967,404200,320
2015-06-09,61.43,61.650002,61.07,61.43,55.911469,309200,321
2015-06-10,61.540001,61.98,61.389999,61.720001,56.175415,807300,322
2015-06-11,61.810001,62.099998,61.450001,62,56.430267,579000,323
2015-06-12,61.970001,62.139999,61.740002,61.889999,56.330147,432900,324
2015-06-15,61.52,61.549999,60.950001,61.220001,55.720348,952500,325
